City,Room,Square,Price
Khmelnytskyj,3,93,900000
Khmelnytskyj,2,50,500000
Khmelnytskyj,3,78,675000
Khmelnytskyj,3,105,887500
Khmelnytskyj,3,94,900000
Khmelnytskyj,3,105,950000
Khmelnytskyj,2,70,800000
Khmelnytskyj,3,89,625000
Khmelnytskyj,3,70,637500
Khmelnytskyj,3,112.56,10500
Khmelnytskyj,3,93,900000
Khmelnytskyj,2,66,950000
Khmelnytskyj,2,80,1125000
Khmelnytskyj,1,37,387500
Khmelnytskyj,1,50,375000
Khmelnytskyj,1,43,337500
Khmelnytskyj,1,36,220000
Khmelnytskyj,1,42,264600
Khmelnytskyj,1,42,575000
Khmelnytskyj,3,72,925000
Khmelnytskyj,1,41,275000
Khmelnytskyj,1,35.58,212500
Khmelnytskyj,1,52,330000
Khmelnytskyj,1,41,325000
Khmelnytskyj,1,47,375000
Khmelnytskyj,2,53,387500
Khmelnytskyj,2,60,522500
